2024-04-24 03:34:12 startup archives unpack
2024-04-24 03:34:12 install libelf1:amd64 <none> 0.188-2.1
2024-04-24 03:34:12 status triggers-pending libc-bin:amd64 2.36-9+deb12u6
2024-04-24 03:34:12 status half-installed libelf1:amd64 0.188-2.1
2024-04-24 03:34:12 status unpacked libelf1:amd64 0.188-2.1
2024-04-24 03:34:12 install libbpf1:amd64 <none> 1:1.1.0-1
2024-04-24 03:34:12 status half-installed libbpf1:amd64 1:1.1.0-1
2024-04-24 03:34:12 status unpacked libbpf1:amd64 1:1.1.0-1
2024-04-24 03:34:12 install libmnl0:amd64 <none> 1.0.4-3
2024-04-24 03:34:12 status half-installed libmnl0:amd64 1.0.4-3
2024-04-24 03:34:12 status unpacked libmnl0:amd64 1.0.4-3
2024-04-24 03:34:12 install libtirpc-common:all <none> 1.3.3+ds-1
2024-04-24 03:34:12 status half-installed libtirpc-common:all 1.3.3+ds-1
2024-04-24 03:34:12 status unpacked libtirpc-common:all 1.3.3+ds-1
2024-04-24 03:34:12 install libtirpc3:amd64 <none> 1.3.3+ds-1
2024-04-24 03:34:12 status half-installed libtirpc3:amd64 1.3.3+ds-1
2024-04-24 03:34:12 status unpacked libtirpc3:amd64 1.3.3+ds-1
2024-04-24 03:34:12 install libxtables12:amd64 <none> 1.8.9-2
2024-04-24 03:34:12 status half-installed libxtables12:amd64 1.8.9-2
2024-04-24 03:34:12 status unpacked libxtables12:amd64 1.8.9-2
2024-04-24 03:34:12 install libcap2-bin:amd64 <none> 1:2.66-4
2024-04-24 03:34:12 status half-installed libcap2-bin:amd64 1:2.66-4
2024-04-24 03:34:12 status unpacked libcap2-bin:amd64 1:2.66-4
2024-04-24 03:34:12 install iproute2:amd64 <none> 6.1.0-3
2024-04-24 03:34:12 status half-installed iproute2:amd64 6.1.0-3
2024-04-24 03:34:12 status unpacked iproute2:amd64 6.1.0-3
2024-04-24 03:34:12 install libatm1:amd64 <none> 1:2.5.1-4+b2
2024-04-24 03:34:12 status half-installed libatm1:amd64 1:2.5.1-4+b2
2024-04-24 03:34:12 status unpacked libatm1:amd64 1:2.5.1-4+b2
2024-04-24 03:34:12 install libpam-cap:amd64 <none> 1:2.66-4
2024-04-24 03:34:12 status half-installed libpam-cap:amd64 1:2.66-4
2024-04-24 03:34:12 status unpacked libpam-cap:amd64 1:2.66-4
2024-04-24 03:34:12 startup packages configure
2024-04-24 03:34:12 configure libtirpc-common:all 1.3.3+ds-1 <none>
2024-04-24 03:34:12 status unpacked libtirpc-common:all 1.3.3+ds-1
2024-04-24 03:34:12 status half-configured libtirpc-common:all 1.3.3+ds-1
